
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From 3rdDeep.py:118: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From 3rdDeep.py:123: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From 3rdDeep.py:149: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From 3rdDeep.py:157: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-04-02 23:27:38.874977: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-02 23:27:38.877467: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7f894ec4ef50 executing computations on platform Host. Devices:
2019-04-02 23:27:38.877542: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Total reward: 320.0', 'Training loss: 413.8317', 'Explore P: 0.9696')
Model Saved
('Episode: 1', 'Total reward: 540.0', 'Training loss: 19.0887', 'Explore P: 0.9157')
('Episode: 2', 'Total reward: 540.0', 'Training loss: 0.6110', 'Explore P: 0.8892')
('Episode: 3', 'Total reward: 320.0', 'Training loss: 0.0026', 'Explore P: 0.8742')
('Episode: 4', 'Total reward: 380.0', 'Training loss: 0.0002', 'Explore P: 0.8380')
('Episode: 5', 'Total reward: 360.0', 'Training loss: 0.0006', 'Explore P: 0.8081')
Model Saved
('Episode: 6', 'Total reward: 780.0', 'Training loss: 0.3054', 'Explore P: 0.7801')
('Episode: 7', 'Total reward: 420.0', 'Training loss: 0.9153', 'Explore P: 0.7344')
('Episode: 8', 'Total reward: 180.0', 'Training loss: 0.3052', 'Explore P: 0.7176')
('Episode: 9', 'Total reward: 180.0', 'Training loss: 1.5565', 'Explore P: 0.7002')
('Episode: 10', 'Total reward: 1030.0', 'Training loss: 0.3208', 'Explore P: 0.6489')
Model Saved
('Episode: 11', 'Total reward: 280.0', 'Training loss: 0.3056', 'Explore P: 0.6239')
('Episode: 12', 'Total reward: 280.0', 'Training loss: 0.0430', 'Explore P: 0.5932')
('Episode: 13', 'Total reward: 460.0', 'Training loss: 0.0005', 'Explore P: 0.5774')
('Episode: 14', 'Total reward: 620.0', 'Training loss: 0.6085', 'Explore P: 0.5630')
('Episode: 15', 'Total reward: 180.0', 'Training loss: 0.0004', 'Explore P: 0.5539')
Model Saved
('Episode: 16', 'Total reward: 220.0', 'Training loss: 1.8590', 'Explore P: 0.5433')
('Episode: 17', 'Total reward: 260.0', 'Training loss: 1.2433', 'Explore P: 0.5371')
('Episode: 18', 'Total reward: 580.0', 'Training loss: 0.0009', 'Explore P: 0.5259')
('Episode: 19', 'Total reward: 520.0', 'Training loss: 1.2637', 'Explore P: 0.5068')
('Episode: 20', 'Total reward: 200.0', 'Training loss: 0.6089', 'Explore P: 0.4894')
Model Saved
('Episode: 21', 'Total reward: 360.0', 'Training loss: 0.0013', 'Explore P: 0.4801')
('Episode: 22', 'Total reward: 140.0', 'Training loss: 0.3059', 'Explore P: 0.4699')
('Episode: 23', 'Total reward: 660.0', 'Training loss: 1.5469', 'Explore P: 0.4632')
('Episode: 24', 'Total reward: 140.0', 'Training loss: 0.0010', 'Explore P: 0.4489')
('Episode: 25', 'Total reward: 500.0', 'Training loss: 0.3064', 'Explore P: 0.4381')
Model Saved
('Episode: 26', 'Total reward: 520.0', 'Training loss: 0.0244', 'Explore P: 0.4286')
('Episode: 27', 'Total reward: 140.0', 'Training loss: 2.7839', 'Explore P: 0.4221')
('Episode: 28', 'Total reward: 340.0', 'Training loss: 1.8506', 'Explore P: 0.4136')
('Episode: 29', 'Total reward: 160.0', 'Training loss: 1.5283', 'Explore P: 0.4041')
('Episode: 30', 'Total reward: 480.0', 'Training loss: 0.0016', 'Explore P: 0.3980')
Model Saved
('Episode: 31', 'Total reward: 180.0', 'Training loss: 1.5255', 'Explore P: 0.3889')
('Episode: 32', 'Total reward: 660.0', 'Training loss: 0.6144', 'Explore P: 0.3725')
('Episode: 33', 'Total reward: 440.0', 'Training loss: 0.0031', 'Explore P: 0.3611')
('Episode: 34', 'Total reward: 200.0', 'Training loss: 2.7870', 'Explore P: 0.3531')
('Episode: 35', 'Total reward: 380.0', 'Training loss: 0.0017', 'Explore P: 0.3401')
Model Saved
('Episode: 36', 'Total reward: 200.0', 'Training loss: 0.0016', 'Explore P: 0.3275')
('Episode: 37', 'Total reward: 1100.0', 'Training loss: 0.6099', 'Explore P: 0.3202')
('Episode: 38', 'Total reward: 400.0', 'Training loss: 0.3076', 'Explore P: 0.3128')
('Episode: 39', 'Total reward: 160.0', 'Training loss: 0.6364', 'Explore P: 0.3095')
('Episode: 40', 'Total reward: 240.0', 'Training loss: 2.1568', 'Explore P: 0.3051')
Model Saved
('Episode: 41', 'Total reward: 200.0', 'Training loss: 0.0009', 'Explore P: 0.3019')
('Episode: 42', 'Total reward: 320.0', 'Training loss: 0.0015', 'Explore P: 0.2925')
('Episode: 43', 'Total reward: 460.0', 'Training loss: 1.2196', 'Explore P: 0.2820')
('Episode: 44', 'Total reward: 420.0', 'Training loss: 0.6108', 'Explore P: 0.2752')
('Episode: 45', 'Total reward: 600.0', 'Training loss: 2.1601', 'Explore P: 0.2696')
Model Saved
('Episode: 46', 'Total reward: 460.0', 'Training loss: 0.6405', 'Explore P: 0.2597')
('Episode: 47', 'Total reward: 100.0', 'Training loss: 0.0018', 'Explore P: 0.2551')
('Episode: 48', 'Total reward: 120.0', 'Training loss: 1.2450', 'Explore P: 0.2515')
('Episode: 49', 'Total reward: 240.0', 'Training loss: 0.6129', 'Explore P: 0.2486')
('Episode: 50', 'Total reward: 480.0', 'Training loss: 1.5464', 'Explore P: 0.2409')
Model Saved
('Episode: 51', 'Total reward: 260.0', 'Training loss: 1.8505', 'Explore P: 0.2365')
('Episode: 52', 'Total reward: 300.0', 'Training loss: 0.0247', 'Explore P: 0.2343')
('Episode: 53', 'Total reward: 180.0', 'Training loss: 1.5460', 'Explore P: 0.2310')
('Episode: 54', 'Total reward: 180.0', 'Training loss: 0.3084', 'Explore P: 0.2286')
('Episode: 55', 'Total reward: 440.0', 'Training loss: 0.9120', 'Explore P: 0.2229')
Model Saved
('Episode: 56', 'Total reward: 440.0', 'Training loss: 0.0232', 'Explore P: 0.2159')
('Episode: 57', 'Total reward: 780.0', 'Training loss: 0.3048', 'Explore P: 0.2121')
('Episode: 58', 'Total reward: 360.0', 'Training loss: 3.0895', 'Explore P: 0.2091')
('Episode: 59', 'Total reward: 240.0', 'Training loss: 1.2470', 'Explore P: 0.2060')
('Episode: 60', 'Total reward: 560.0', 'Training loss: 1.5491', 'Explore P: 0.2024')
Model Saved
('Episode: 61', 'Total reward: 180.0', 'Training loss: 0.0189', 'Explore P: 0.2003')
('Episode: 62', 'Total reward: 440.0', 'Training loss: 1.5435', 'Explore P: 0.1934')
('Episode: 63', 'Total reward: 260.0', 'Training loss: 1.5469', 'Explore P: 0.1904')
('Episode: 64', 'Total reward: 240.0', 'Training loss: 0.9317', 'Explore P: 0.1885')
('Episode: 65', 'Total reward: 420.0', 'Training loss: 1.2598', 'Explore P: 0.1839')
Model Saved
('Episode: 66', 'Total reward: 340.0', 'Training loss: 2.4836', 'Explore P: 0.1821')
('Episode: 67', 'Total reward: 260.0', 'Training loss: 1.5688', 'Explore P: 0.1803')
('Episode: 68', 'Total reward: 420.0', 'Training loss: 0.3057', 'Explore P: 0.1767')
('Episode: 69', 'Total reward: 280.0', 'Training loss: 0.0020', 'Explore P: 0.1704')
('Episode: 70', 'Total reward: 260.0', 'Training loss: 0.6355', 'Explore P: 0.1666')
Model Saved
('Episode: 71', 'Total reward: 680.0', 'Training loss: 3.1053', 'Explore P: 0.1639')
('Episode: 72', 'Total reward: 1310.0', 'Training loss: 0.0019', 'Explore P: 0.1621')
('Episode: 73', 'Total reward: 180.0', 'Training loss: 0.3053', 'Explore P: 0.1606')
('Episode: 74', 'Total reward: 360.0', 'Training loss: 2.7887', 'Explore P: 0.1589')
('Episode: 75', 'Total reward: 180.0', 'Training loss: 1.5465', 'Explore P: 0.1578')
Model Saved
('Episode: 76', 'Total reward: 340.0', 'Training loss: 0.6083', 'Explore P: 0.1556')
('Episode: 77', 'Total reward: 420.0', 'Training loss: 3.1377', 'Explore P: 0.1508')
('Episode: 78', 'Total reward: 140.0', 'Training loss: 1.2427', 'Explore P: 0.1496')
('Episode: 79', 'Total reward: 60.0', 'Training loss: 1.8514', 'Explore P: 0.1486')
('Episode: 80', 'Total reward: 180.0', 'Training loss: 1.5465', 'Explore P: 0.1469')
Model Saved
('Episode: 81', 'Total reward: 160.0', 'Training loss: 2.4853', 'Explore P: 0.1452')
('Episode: 82', 'Total reward: 140.0', 'Training loss: 0.3067', 'Explore P: 0.1443')
('Episode: 83', 'Total reward: 460.0', 'Training loss: 0.3060', 'Explore P: 0.1424')
('Episode: 84', 'Total reward: 1450.0', 'Training loss: 0.6095', 'Explore P: 0.1402')
('Episode: 85', 'Total reward: 540.0', 'Training loss: 1.2596', 'Explore P: 0.1386')
Model Saved
('Episode: 86', 'Total reward: 380.0', 'Training loss: 0.3049', 'Explore P: 0.1368')
('Episode: 87', 'Total reward: 620.0', 'Training loss: 0.0232', 'Explore P: 0.1356')
('Episode: 88', 'Total reward: 760.0', 'Training loss: 1.8521', 'Explore P: 0.1339')
('Episode: 89', 'Total reward: 280.0', 'Training loss: 0.6081', 'Explore P: 0.1331')
('Episode: 90', 'Total reward: 180.0', 'Training loss: 0.0025', 'Explore P: 0.1324')
Model Saved
('Episode: 91', 'Total reward: 220.0', 'Training loss: 2.4837', 'Explore P: 0.1318')
('Episode: 92', 'Total reward: 880.0', 'Training loss: 0.3221', 'Explore P: 0.1302')
('Episode: 93', 'Total reward: 180.0', 'Training loss: 1.8521', 'Explore P: 0.1296')
('Episode: 94', 'Total reward: 260.0', 'Training loss: 0.3070', 'Explore P: 0.1285')
('Episode: 95', 'Total reward: 180.0', 'Training loss: 0.0021', 'Explore P: 0.1279')
Model Saved
('Episode: 96', 'Total reward: 200.0', 'Training loss: 0.0026', 'Explore P: 0.1268')
('Episode: 97', 'Total reward: 260.0', 'Training loss: 1.8529', 'Explore P: 0.1263')
('Episode: 98', 'Total reward: 140.0', 'Training loss: 0.3057', 'Explore P: 0.1257')
('Episode: 99', 'Total reward: 520.0', 'Training loss: 0.3068', 'Explore P: 0.1247')
('Episode: 100', 'Total reward: 180.0', 'Training loss: 0.3052', 'Explore P: 0.1241')
Model Saved
('Episode: 101', 'Total reward: 260.0', 'Training loss: 1.8541', 'Explore P: 0.1236')
('Episode: 102', 'Total reward: 320.0', 'Training loss: 0.3208', 'Explore P: 0.1222')
('Episode: 103', 'Total reward: 720.0', 'Training loss: 0.3050', 'Explore P: 0.1212')
('Episode: 104', 'Total reward: 160.0', 'Training loss: 0.6324', 'Explore P: 0.1207')
('Episode: 105', 'Total reward: 360.0', 'Training loss: 6.5485', 'Explore P: 0.1198')
Model Saved
('Episode: 106', 'Total reward: 240.0', 'Training loss: 1.8520', 'Explore P: 0.1195')
('Episode: 107', 'Total reward: 220.0', 'Training loss: 0.0011', 'Explore P: 0.1189')
('Episode: 108', 'Total reward: 380.0', 'Training loss: 1.5549', 'Explore P: 0.1182')
('Episode: 109', 'Total reward: 60.0', 'Training loss: 0.9127', 'Explore P: 0.1179')
('Episode: 110', 'Total reward: 240.0', 'Training loss: 2.1685', 'Explore P: 0.1174')
Model Saved
('Episode: 111', 'Total reward: 200.0', 'Training loss: 1.2443', 'Explore P: 0.1169')
('Episode: 112', 'Total reward: 1120.0', 'Training loss: 1.5596', 'Explore P: 0.1157')
