
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From 7thDeep.py:136: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From 7thDeep.py:141: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From 7thDeep.py:167: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From 7thDeep.py:175: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-04-07 21:31:04.011515: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-07 21:31:04.013993: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffe561db60 executing computations on platform Host. Devices:
2019-04-07 21:31:04.014063: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Reward: 320.0', 'Loss: 1.30920171738', 'Explore P: 0.9331')
Model Saved
('Episode: 1', 'Reward: 260.0', 'Loss: 3.34329462051', 'Explore P: 0.8799')
('Episode: 2', 'Reward: 200.0', 'Loss: 1.00373125076', 'Explore P: 0.8324')
('Episode: 3', 'Reward: 200.0', 'Loss: 1.95890665054', 'Explore P: 0.7967')
('Episode: 4', 'Reward: 540.0', 'Loss: 0.438006520271', 'Explore P: 0.7267')
('Episode: 5', 'Reward: 480.0', 'Loss: 0.497407913208', 'Explore P: 0.6538')
('Episode: 6', 'Reward: 620.0', 'Loss: 1.83040308952', 'Explore P: 0.5910')
('Episode: 7', 'Reward: 400.0', 'Loss: 1.168664217', 'Explore P: 0.5574')
('Episode: 8', 'Reward: 400.0', 'Loss: 1.08735895157', 'Explore P: 0.4959')
('Episode: 9', 'Reward: 200.0', 'Loss: 0.47249263525', 'Explore P: 0.4642')
('Episode: 10', 'Reward: 300.0', 'Loss: 0.70442456007', 'Explore P: 0.4371')
('Episode: 11', 'Reward: 1170.0', 'Loss: 0.829121470451', 'Explore P: 0.3970')
('Episode: 12', 'Reward: 280.0', 'Loss: 0.598322331905', 'Explore P: 0.3745')
('Episode: 13', 'Reward: 240.0', 'Loss: 0.902313768864', 'Explore P: 0.3594')
('Episode: 14', 'Reward: 240.0', 'Loss: 1.09036564827', 'Explore P: 0.3432')
('Episode: 15', 'Reward: 380.0', 'Loss: 0.59695148468', 'Explore P: 0.3314')
('Episode: 16', 'Reward: 460.0', 'Loss: 2.70415234566', 'Explore P: 0.3125')
('Episode: 17', 'Reward: 460.0', 'Loss: 1.24874603748', 'Explore P: 0.2851')
('Episode: 18', 'Reward: 540.0', 'Loss: 2.2925658226', 'Explore P: 0.2711')
('Episode: 19', 'Reward: 440.0', 'Loss: 0.241422683001', 'Explore P: 0.2583')
('Episode: 20', 'Reward: 320.0', 'Loss: 1.50170898438', 'Explore P: 0.2447')
('Episode: 21', 'Reward: 420.0', 'Loss: 0.57884401083', 'Explore P: 0.2175')
('Episode: 22', 'Reward: 2010.0', 'Loss: 8.52311515808', 'Explore P: 0.2009')
