
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From keras.py:136: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From keras.py:141: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From keras.py:167: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From keras.py:175: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-04-05 12:15:14.203670: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-05 12:15:14.205919: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffd0963630 executing computations on platform Host. Devices:
2019-04-05 12:15:14.205989: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Reward: 240.0', 'Loss: 0.231588184834', 'Explore P: 0.9520')
Model Saved
('Episode: 1', 'Reward: 860.0', 'Loss: 1.38722538948', 'Explore P: 0.8316')
('Episode: 2', 'Reward: 340.0', 'Loss: 1.83655166626', 'Explore P: 0.7352')
('Episode: 3', 'Reward: 500.0', 'Loss: 1.39422154427', 'Explore P: 0.6759')
('Episode: 4', 'Reward: 380.0', 'Loss: 0.628116309643', 'Explore P: 0.6444')
('Episode: 5', 'Reward: 180.0', 'Loss: 0.323946416378', 'Explore P: 0.6178')
('Episode: 6', 'Reward: 300.0', 'Loss: 1.00754117966', 'Explore P: 0.5840')
('Episode: 7', 'Reward: 850.0', 'Loss: 2.6720764637', 'Explore P: 0.5430')
('Episode: 8', 'Reward: 480.0', 'Loss: 0.466143220663', 'Explore P: 0.5042')
('Episode: 9', 'Reward: 340.0', 'Loss: 0.959434390068', 'Explore P: 0.4736')
('Episode: 10', 'Reward: 940.0', 'Loss: 1.82139825821', 'Explore P: 0.4260')
('Episode: 11', 'Reward: 320.0', 'Loss: 1.0858758688', 'Explore P: 0.3989')
('Episode: 12', 'Reward: 200.0', 'Loss: 0.85236787796', 'Explore P: 0.3807')
('Episode: 13', 'Reward: 1390.0', 'Loss: 2.57384777069', 'Explore P: 0.3480')
('Episode: 14', 'Reward: 1160.0', 'Loss: 1.51511752605', 'Explore P: 0.3056')
('Episode: 15', 'Reward: 180.0', 'Loss: 3.47467446327', 'Explore P: 0.2919')
('Episode: 16', 'Reward: 440.0', 'Loss: 0.419110924006', 'Explore P: 0.2693')
('Episode: 17', 'Reward: 1050.0', 'Loss: 0.896470487118', 'Explore P: 0.2417')
('Episode: 18', 'Reward: 1130.0', 'Loss: 0.30025690794', 'Explore P: 0.2173')
('Episode: 19', 'Reward: 260.0', 'Loss: 0.223624125123', 'Explore P: 0.2070')
('Episode: 20', 'Reward: 540.0', 'Loss: 0.487592428923', 'Explore P: 0.1923')
('Episode: 21', 'Reward: 780.0', 'Loss: 1.41190958023', 'Explore P: 0.1740')
