
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From keras.py:136: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From keras.py:141: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From keras.py:167: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From keras.py:175: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
2019-04-06 17:03:12.340017: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-06 17:03:12.342409: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffdd4ffa30 executing computations on platform Host. Devices:
2019-04-06 17:03:12.342452: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
Memory Ready
Training Started
('Episode: 0', 'Reward: 460.0', 'Loss: 30.3062667847', 'Explore P: 0.1000')
Model Saved
('Episode: 1', 'Reward: 4120.0', 'Loss: 28.3934593201', 'Explore P: 0.1000')
('Episode: 2', 'Reward: 620.0', 'Loss: 92.2823867798', 'Explore P: 0.1000')
('Episode: 3', 'Reward: 1410.0', 'Loss: 12.3780040741', 'Explore P: 0.1000')
('Episode: 4', 'Reward: 320.0', 'Loss: 14.3886642456', 'Explore P: 0.1000')
('Episode: 5', 'Reward: 820.0', 'Loss: 41.7402305603', 'Explore P: 0.1000')
('Episode: 6', 'Reward: 360.0', 'Loss: 48.1895675659', 'Explore P: 0.1000')
('Episode: 7', 'Reward: 2370.0', 'Loss: 18.9236392975', 'Explore P: 0.1000')
('Episode: 8', 'Reward: 1880.0', 'Loss: 10.4144058228', 'Explore P: 0.1000')
('Episode: 9', 'Reward: 660.0', 'Loss: 32.8616409302', 'Explore P: 0.1000')
('Episode: 10', 'Reward: 380.0', 'Loss: 22.1552505493', 'Explore P: 0.1000')
('Episode: 11', 'Reward: 760.0', 'Loss: 27.6055812836', 'Explore P: 0.1000')
('Episode: 12', 'Reward: 580.0', 'Loss: 22.6819324493', 'Explore P: 0.1000')
('Episode: 13', 'Reward: 3070.0', 'Loss: 27.3382701874', 'Explore P: 0.1000')
('Episode: 14', 'Reward: 440.0', 'Loss: 37.1386871338', 'Explore P: 0.1000')
('Episode: 15', 'Reward: 3090.0', 'Loss: 23.2026176453', 'Explore P: 0.1000')
('Episode: 16', 'Reward: 2510.0', 'Loss: 24.813621521', 'Explore P: 0.1000')
('Episode: 17', 'Reward: 2330.0', 'Loss: 27.7143211365', 'Explore P: 0.1000')
('Episode: 18', 'Reward: 4090.0', 'Loss: 16.2919502258', 'Explore P: 0.1000')
('Episode: 19', 'Reward: 920.0', 'Loss: 16.5623207092', 'Explore P: 0.1000')
('Episode: 20', 'Reward: 1390.0', 'Loss: 72.5386734009', 'Explore P: 0.1000')
('Episode: 21', 'Reward: 2180.0', 'Loss: 28.001701355', 'Explore P: 0.1000')
('Episode: 22', 'Reward: 1130.0', 'Loss: 65.4313278198', 'Explore P: 0.1000')
('Episode: 23', 'Reward: 700.0', 'Loss: 71.3398208618', 'Explore P: 0.1000')
('Episode: 24', 'Reward: 540.0', 'Loss: 28.010559082', 'Explore P: 0.1000')
('Episode: 25', 'Reward: 2230.0', 'Loss: 35.975933075', 'Explore P: 0.1000')
('Episode: 26', 'Reward: 660.0', 'Loss: 16.4550704956', 'Explore P: 0.1000')
('Episode: 27', 'Reward: 4000.0', 'Loss: 19.7336196899', 'Explore P: 0.1000')
('Episode: 28', 'Reward: 2650.0', 'Loss: 76.3053131104', 'Explore P: 0.1000')
('Episode: 29', 'Reward: 3320.0', 'Loss: 43.5878105164', 'Explore P: 0.1000')
('Episode: 30', 'Reward: 320.0', 'Loss: 24.235408783', 'Explore P: 0.1000')
('Episode: 31', 'Reward: 1280.0', 'Loss: 21.8130187988', 'Explore P: 0.1000')
('Episode: 32', 'Reward: 380.0', 'Loss: 23.1646213531', 'Explore P: 0.1000')
('Episode: 33', 'Reward: 2990.0', 'Loss: 29.0259094238', 'Explore P: 0.1000')
('Episode: 34', 'Reward: 3530.0', 'Loss: 18.2966327667', 'Explore P: 0.1000')
('Episode: 35', 'Reward: 1890.0', 'Loss: 21.4163722992', 'Explore P: 0.1000')
('Episode: 36', 'Reward: 3950.0', 'Loss: 16.0632247925', 'Explore P: 0.1000')
('Episode: 37', 'Reward: 3290.0', 'Loss: 19.2435531616', 'Explore P: 0.1000')
('Episode: 38', 'Reward: 2380.0', 'Loss: 23.580657959', 'Explore P: 0.1000')
('Episode: 39', 'Reward: 840.0', 'Loss: 29.9038257599', 'Explore P: 0.1000')
('Episode: 40', 'Reward: 620.0', 'Loss: 31.8228549957', 'Explore P: 0.1000')
('Episode: 41', 'Reward: 3230.0', 'Loss: 58.6921234131', 'Explore P: 0.1000')
('Episode: 42', 'Reward: 460.0', 'Loss: 13.3688049316', 'Explore P: 0.1000')
('Episode: 43', 'Reward: 780.0', 'Loss: 23.9510726929', 'Explore P: 0.1000')
('Episode: 44', 'Reward: 3690.0', 'Loss: 60.4486999512', 'Explore P: 0.1000')
('Episode: 45', 'Reward: 3130.0', 'Loss: 21.352268219', 'Explore P: 0.1000')
('Episode: 46', 'Reward: 440.0', 'Loss: 35.712677002', 'Explore P: 0.1000')
('Episode: 47', 'Reward: 460.0', 'Loss: 26.4307918549', 'Explore P: 0.1000')
('Episode: 48', 'Reward: 540.0', 'Loss: 25.096162796', 'Explore P: 0.1000')
('Episode: 49', 'Reward: 2690.0', 'Loss: 93.0074768066', 'Explore P: 0.1000')
('Episode: 50', 'Reward: 2890.0', 'Loss: 24.7919464111', 'Explore P: 0.1000')
('Episode: 51', 'Reward: 500.0', 'Loss: 40.9274215698', 'Explore P: 0.1000')
('Episode: 52', 'Reward: 3790.0', 'Loss: 24.774805069', 'Explore P: 0.1000')
('Episode: 53', 'Reward: 2010.0', 'Loss: 27.7076301575', 'Explore P: 0.1000')
('Episode: 54', 'Reward: 2530.0', 'Loss: 31.804265976', 'Explore P: 0.1000')
('Episode: 55', 'Reward: 1490.0', 'Loss: 76.3734741211', 'Explore P: 0.1000')
('Episode: 56', 'Reward: 2890.0', 'Loss: 148.84765625', 'Explore P: 0.1000')
('Episode: 57', 'Reward: 2240.0', 'Loss: 19.7874889374', 'Explore P: 0.1000')
('Episode: 58', 'Reward: 640.0', 'Loss: 29.2613792419', 'Explore P: 0.1000')
('Episode: 59', 'Reward: 680.0', 'Loss: 19.5501937866', 'Explore P: 0.1000')
('Episode: 60', 'Reward: 540.0', 'Loss: 40.9752120972', 'Explore P: 0.1000')
('Episode: 61', 'Reward: 700.0', 'Loss: 24.4590110779', 'Explore P: 0.1000')
('Episode: 62', 'Reward: 560.0', 'Loss: 51.9307746887', 'Explore P: 0.1000')
('Episode: 63', 'Reward: 4150.0', 'Loss: 67.3988494873', 'Explore P: 0.1000')
('Episode: 64', 'Reward: 3130.0', 'Loss: 24.5580348969', 'Explore P: 0.1000')
('Episode: 65', 'Reward: 1790.0', 'Loss: 115.257354736', 'Explore P: 0.1000')
('Episode: 66', 'Reward: 2450.0', 'Loss: 23.9841117859', 'Explore P: 0.1000')
('Episode: 67', 'Reward: 560.0', 'Loss: 33.616104126', 'Explore P: 0.1000')
('Episode: 68', 'Reward: 2950.0', 'Loss: 27.3620071411', 'Explore P: 0.1000')
('Episode: 69', 'Reward: 4140.0', 'Loss: 23.937997818', 'Explore P: 0.1000')
('Episode: 70', 'Reward: 3070.0', 'Loss: 27.0716247559', 'Explore P: 0.1000')
('Episode: 71', 'Reward: 780.0', 'Loss: 14.9689292908', 'Explore P: 0.1000')
('Episode: 72', 'Reward: 1450.0', 'Loss: 71.5894317627', 'Explore P: 0.1000')
('Episode: 73', 'Reward: 520.0', 'Loss: 63.5369338989', 'Explore P: 0.1000')
('Episode: 74', 'Reward: 1930.0', 'Loss: 20.5090198517', 'Explore P: 0.1000')
('Episode: 75', 'Reward: 540.0', 'Loss: 41.6120567322', 'Explore P: 0.1000')
('Episode: 76', 'Reward: 1620.0', 'Loss: 21.7589950562', 'Explore P: 0.1000')
('Episode: 77', 'Reward: 3980.0', 'Loss: 25.5997238159', 'Explore P: 0.1000')
('Episode: 78', 'Reward: 2520.0', 'Loss: 20.5840072632', 'Explore P: 0.1000')
('Episode: 79', 'Reward: 3380.0', 'Loss: 73.1381759644', 'Explore P: 0.1000')
('Episode: 80', 'Reward: 860.0', 'Loss: 102.670379639', 'Explore P: 0.1000')
('Episode: 81', 'Reward: 1650.0', 'Loss: 23.1293563843', 'Explore P: 0.1000')
('Episode: 82', 'Reward: 560.0', 'Loss: 15.2369565964', 'Explore P: 0.1000')
('Episode: 83', 'Reward: 2050.0', 'Loss: 55.4294662476', 'Explore P: 0.1000')
('Episode: 84', 'Reward: 600.0', 'Loss: 30.6857643127', 'Explore P: 0.1000')
('Episode: 85', 'Reward: 2380.0', 'Loss: 40.1268920898', 'Explore P: 0.1000')
('Episode: 86', 'Reward: 2020.0', 'Loss: 55.9326553345', 'Explore P: 0.1000')
('Episode: 87', 'Reward: 3250.0', 'Loss: 67.8147277832', 'Explore P: 0.1000')
('Episode: 88', 'Reward: 560.0', 'Loss: 69.8546142578', 'Explore P: 0.1000')
('Episode: 89', 'Reward: 2070.0', 'Loss: 25.4461708069', 'Explore P: 0.1000')
('Episode: 90', 'Reward: 4050.0', 'Loss: 34.5759124756', 'Explore P: 0.1000')
('Episode: 91', 'Reward: 4260.0', 'Loss: 37.122127533', 'Explore P: 0.1000')
('Episode: 92', 'Reward: 2620.0', 'Loss: 16.9723510742', 'Explore P: 0.1000')
('Episode: 93', 'Reward: 2640.0', 'Loss: 23.2981376648', 'Explore P: 0.1000')
('Episode: 94', 'Reward: 3100.0', 'Loss: 92.4078445435', 'Explore P: 0.1000')
('Episode: 95', 'Reward: 3350.0', 'Loss: 114.301544189', 'Explore P: 0.1000')
('Episode: 96', 'Reward: 1940.0', 'Loss: 27.6871566772', 'Explore P: 0.1000')
('Episode: 97', 'Reward: 2250.0', 'Loss: 36.0923919678', 'Explore P: 0.1000')
('Episode: 98', 'Reward: 3320.0', 'Loss: 27.5773544312', 'Explore P: 0.1000')
('Episode: 99', 'Reward: 1920.0', 'Loss: 55.5606651306', 'Explore P: 0.1000')
('Episode: 100', 'Reward: 4050.0', 'Loss: 24.7418174744', 'Explore P: 0.1000')
Model Saved
('Episode: 101', 'Reward: 820.0', 'Loss: 74.2041931152', 'Explore P: 0.1000')
('Episode: 102', 'Reward: 1790.0', 'Loss: 70.7004394531', 'Explore P: 0.1000')
('Episode: 103', 'Reward: 3260.0', 'Loss: 46.9814529419', 'Explore P: 0.1000')
('Episode: 104', 'Reward: 340.0', 'Loss: 82.8916931152', 'Explore P: 0.1000')
('Episode: 105', 'Reward: 640.0', 'Loss: 55.7944602966', 'Explore P: 0.1000')
('Episode: 106', 'Reward: 3430.0', 'Loss: 41.7775802612', 'Explore P: 0.1000')
('Episode: 107', 'Reward: 3280.0', 'Loss: 47.6297416687', 'Explore P: 0.1000')
('Episode: 108', 'Reward: 4130.0', 'Loss: 52.4597320557', 'Explore P: 0.1000')
('Episode: 109', 'Reward: 1920.0', 'Loss: 24.4031143188', 'Explore P: 0.1000')
('Episode: 110', 'Reward: 3190.0', 'Loss: 60.4443054199', 'Explore P: 0.1000')
('Episode: 111', 'Reward: 4040.0', 'Loss: 39.3653831482', 'Explore P: 0.1000')
('Episode: 112', 'Reward: 1070.0', 'Loss: 84.2837219238', 'Explore P: 0.1000')
('Episode: 113', 'Reward: 2730.0', 'Loss: 28.941318512', 'Explore P: 0.1000')
('Episode: 114', 'Reward: 600.0', 'Loss: 37.5828208923', 'Explore P: 0.1000')
('Episode: 115', 'Reward: 4110.0', 'Loss: 40.4751052856', 'Explore P: 0.1000')
('Episode: 116', 'Reward: 1960.0', 'Loss: 41.205078125', 'Explore P: 0.1000')
('Episode: 117', 'Reward: 1930.0', 'Loss: 57.2185287476', 'Explore P: 0.1000')
('Episode: 118', 'Reward: 740.0', 'Loss: 25.4816436768', 'Explore P: 0.1000')
('Episode: 119', 'Reward: 180.0', 'Loss: 54.1182594299', 'Explore P: 0.1000')
('Episode: 120', 'Reward: 140.0', 'Loss: 63.9120330811', 'Explore P: 0.1000')
('Episode: 121', 'Reward: 1590.0', 'Loss: 35.070022583', 'Explore P: 0.1000')
('Episode: 122', 'Reward: 2930.0', 'Loss: 28.4968910217', 'Explore P: 0.1000')
('Episode: 123', 'Reward: 640.0', 'Loss: 40.1846351624', 'Explore P: 0.1000')
('Episode: 124', 'Reward: 2440.0', 'Loss: 38.4698410034', 'Explore P: 0.1000')
('Episode: 125', 'Reward: 2460.0', 'Loss: 34.7650794983', 'Explore P: 0.1000')
('Episode: 126', 'Reward: 1310.0', 'Loss: 35.2849578857', 'Explore P: 0.1000')
('Episode: 127', 'Reward: 3950.0', 'Loss: 31.5593948364', 'Explore P: 0.1000')
('Episode: 128', 'Reward: 1420.0', 'Loss: 40.3327407837', 'Explore P: 0.1000')
('Episode: 129', 'Reward: 2410.0', 'Loss: 40.9914169312', 'Explore P: 0.1000')
('Episode: 130', 'Reward: 3070.0', 'Loss: 32.7956619263', 'Explore P: 0.1000')
('Episode: 131', 'Reward: 3260.0', 'Loss: 22.2777023315', 'Explore P: 0.1000')
('Episode: 132', 'Reward: 600.0', 'Loss: 30.8854656219', 'Explore P: 0.1000')
('Episode: 133', 'Reward: 1980.0', 'Loss: 36.7779846191', 'Explore P: 0.1000')
('Episode: 134', 'Reward: 2370.0', 'Loss: 39.1559906006', 'Explore P: 0.1000')
('Episode: 135', 'Reward: 3700.0', 'Loss: 37.1356811523', 'Explore P: 0.1000')
('Episode: 136', 'Reward: 1910.0', 'Loss: 30.6226634979', 'Explore P: 0.1000')
('Episode: 137', 'Reward: 700.0', 'Loss: 33.1530723572', 'Explore P: 0.1000')
('Episode: 138', 'Reward: 3640.0', 'Loss: 24.2068004608', 'Explore P: 0.1000')
('Episode: 139', 'Reward: 1550.0', 'Loss: 27.8619480133', 'Explore P: 0.1000')
('Episode: 140', 'Reward: 560.0', 'Loss: 71.455619812', 'Explore P: 0.1000')
('Episode: 141', 'Reward: 4060.0', 'Loss: 34.5718994141', 'Explore P: 0.1000')
('Episode: 142', 'Reward: 2480.0', 'Loss: 40.1875267029', 'Explore P: 0.1000')
('Episode: 143', 'Reward: 2450.0', 'Loss: 25.5706253052', 'Explore P: 0.1000')
('Episode: 144', 'Reward: 780.0', 'Loss: 30.0822257996', 'Explore P: 0.1000')
('Episode: 145', 'Reward: 1220.0', 'Loss: 50.8405075073', 'Explore P: 0.1000')
('Episode: 146', 'Reward: 1940.0', 'Loss: 28.3908958435', 'Explore P: 0.1000')
('Episode: 147', 'Reward: 2320.0', 'Loss: 33.6758384705', 'Explore P: 0.1000')
('Episode: 148', 'Reward: 2530.0', 'Loss: 20.7368373871', 'Explore P: 0.1000')
('Episode: 149', 'Reward: 520.0', 'Loss: 41.0310745239', 'Explore P: 0.1000')
('Episode: 150', 'Reward: 680.0', 'Loss: 54.8012924194', 'Explore P: 0.1000')
('Episode: 151', 'Reward: 580.0', 'Loss: 58.7503814697', 'Explore P: 0.1000')
('Episode: 152', 'Reward: 2400.0', 'Loss: 45.2862319946', 'Explore P: 0.1000')
('Episode: 153', 'Reward: 4000.0', 'Loss: 41.2439651489', 'Explore P: 0.1000')
