Loaded model
('Episode: 0', 'Total reward: 660.0', 'Explore P: 0.5000', 'Running Average: 660.0')
Model Saved
('Episode: 1', 'Total reward: 100.0', 'Explore P: 0.5000', 'Running Average: 380.0')
('Episode: 2', 'Total reward: 200.0', 'Explore P: 0.5000', 'Running Average: 320.0')
('Episode: 3', 'Total reward: 480.0', 'Explore P: 0.5000', 'Running Average: 360.0')
('Episode: 4', 'Total reward: 200.0', 'Explore P: 0.5000', 'Running Average: 328.0')
('Episode: 5', 'Total reward: 340.0', 'Explore P: 0.5000', 'Running Average: 330.0')
Model Saved
('Episode: 6', 'Total reward: 460.0', 'Explore P: 0.5000', 'Running Average: 348.571428571')
('Episode: 7', 'Total reward: 1860.0', 'Explore P: 0.5000', 'Running Average: 537.5')
('Episode: 8', 'Total reward: 560.0', 'Explore P: 0.5000', 'Running Average: 540.0')
('Episode: 9', 'Total reward: 420.0', 'Explore P: 0.5000', 'Running Average: 528.0')
('Episode: 10', 'Total reward: 2140.0', 'Explore P: 0.5000', 'Running Average: 674.545454545')
Model Saved
('Episode: 11', 'Total reward: 1570.0', 'Explore P: 0.5000', 'Running Average: 749.166666667')
('Episode: 12', 'Total reward: 900.0', 'Explore P: 0.5000', 'Running Average: 760.769230769')
('Episode: 13', 'Total reward: 2130.0', 'Explore P: 0.5000', 'Running Average: 858.571428571')
('Episode: 14', 'Total reward: 480.0', 'Explore P: 0.5000', 'Running Average: 833.333333333')
('Episode: 15', 'Total reward: 540.0', 'Explore P: 0.5000', 'Running Average: 815.0')
Model Saved
('Episode: 16', 'Total reward: 580.0', 'Explore P: 0.5000', 'Running Average: 801.176470588')
('Episode: 17', 'Total reward: 560.0', 'Explore P: 0.5000', 'Running Average: 787.777777778')
