
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From ./deepQ.py:367: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./deepQ.py:372: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From ./deepQ.py:424: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From ./deepQ.py:432: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-03-23 00:37:45.820876: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-03-23 00:37:45.823378: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffe82d52d0 executing computations on platform Host. Devices:
2019-03-23 00:37:45.823436: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Total reward: 1610.0', 'Training loss: 52.0388', 'Explore P: 0.9601')
Model Saved
('Episode: 1', 'Total reward: 560.0', 'Training loss: 179.4412', 'Explore P: 0.9517')
('Episode: 2', 'Total reward: 1710.0', 'Training loss: 63.8581', 'Explore P: 0.9235')
('Episode: 3', 'Total reward: 420.0', 'Training loss: 38.4596', 'Explore P: 0.9099')
('Episode: 4', 'Total reward: 1070.0', 'Training loss: 96.6657', 'Explore P: 0.8718')
('Episode: 5', 'Total reward: 1500.0', 'Training loss: 54.3130', 'Explore P: 0.8543')
Model Saved
('Episode: 6', 'Total reward: 440.0', 'Training loss: 61.1267', 'Explore P: 0.8468')
('Episode: 7', 'Total reward: 460.0', 'Training loss: 81.9469', 'Explore P: 0.8413')
('Episode: 8', 'Total reward: 220.0', 'Training loss: 64.4297', 'Explore P: 0.8271')
('Episode: 9', 'Total reward: 400.0', 'Training loss: 91.0733', 'Explore P: 0.8126')
('Episode: 10', 'Total reward: 1770.0', 'Training loss: 134.5154', 'Explore P: 0.7988')
Model Saved
('Episode: 11', 'Total reward: 990.0', 'Training loss: 111.9953', 'Explore P: 0.7791')
('Episode: 12', 'Total reward: 1030.0', 'Training loss: 61.5053', 'Explore P: 0.7724')
('Episode: 13', 'Total reward: 2360.0', 'Training loss: 86.1720', 'Explore P: 0.7665')
('Episode: 14', 'Total reward: 680.0', 'Training loss: 73.0538', 'Explore P: 0.7603')
('Episode: 15', 'Total reward: 2660.0', 'Training loss: 65.0157', 'Explore P: 0.7522')
Model Saved
('Episode: 16', 'Total reward: 700.0', 'Training loss: 180.4443', 'Explore P: 0.7412')
('Episode: 17', 'Total reward: 260.0', 'Training loss: 56.3084', 'Explore P: 0.7363')
('Episode: 18', 'Total reward: 480.0', 'Training loss: 109.8320', 'Explore P: 0.7286')
('Episode: 19', 'Total reward: 1230.0', 'Training loss: 104.6437', 'Explore P: 0.7206')
