
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From ./deepQ.py:367: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./deepQ.py:372: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From ./deepQ.py:424: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From ./deepQ.py:432: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-03-21 16:56:05.197252: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-03-21 16:56:05.255695: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffed69aa30 executing computations on platform Host. Devices:
2019-03-21 16:56:05.255763: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Total reward: 800.0', 'Training loss: 57.1794', 'Explore P: 0.9911')
Model Saved
('Episode: 1', 'Total reward: 440.0', 'Training loss: 97.3479', 'Explore P: 0.9756')
('Episode: 2', 'Total reward: 480.0', 'Training loss: 109.3698', 'Explore P: 0.9688')
('Episode: 3', 'Total reward: 420.0', 'Training loss: 49.3035', 'Explore P: 0.9437')
('Episode: 4', 'Total reward: 360.0', 'Training loss: 44.1611', 'Explore P: 0.9345')
('Episode: 5', 'Total reward: 1530.0', 'Training loss: 90.1456', 'Explore P: 0.9262')
Model Saved
('Episode: 6', 'Total reward: 1280.0', 'Training loss: 121.7021', 'Explore P: 0.9061')
('Episode: 7', 'Total reward: 340.0', 'Training loss: 54.8422', 'Explore P: 0.9007')
('Episode: 8', 'Total reward: 440.0', 'Training loss: 72.6009', 'Explore P: 0.8771')
('Episode: 9', 'Total reward: 420.0', 'Training loss: 57.9958', 'Explore P: 0.8666')
('Episode: 10', 'Total reward: 200.0', 'Training loss: 72.5438', 'Explore P: 0.8612')
Model Saved
('Episode: 11', 'Total reward: 420.0', 'Training loss: 58.7009', 'Explore P: 0.8517')
('Episode: 12', 'Total reward: 400.0', 'Training loss: 56.8095', 'Explore P: 0.8454')
('Episode: 13', 'Total reward: 2320.0', 'Training loss: 53.0777', 'Explore P: 0.8366')
('Episode: 14', 'Total reward: 2380.0', 'Training loss: 74.1101', 'Explore P: 0.8276')
('Episode: 15', 'Total reward: 2420.0', 'Training loss: 58.7266', 'Explore P: 0.8137')
Model Saved
('Episode: 16', 'Total reward: 640.0', 'Training loss: 108.6423', 'Explore P: 0.8064')
('Episode: 17', 'Total reward: 420.0', 'Training loss: 83.5788', 'Explore P: 0.7764')
('Episode: 18', 'Total reward: 420.0', 'Training loss: 80.4723', 'Explore P: 0.7704')
('Episode: 19', 'Total reward: 540.0', 'Training loss: 133.1115', 'Explore P: 0.7632')
('Episode: 20', 'Total reward: 1250.0', 'Training loss: 217.0451', 'Explore P: 0.7562')
Model Saved
('Episode: 21', 'Total reward: 380.0', 'Training loss: 66.5053', 'Explore P: 0.7521')
('Episode: 22', 'Total reward: 1880.0', 'Training loss: 135.1361', 'Explore P: 0.7439')
('Episode: 23', 'Total reward: 970.0', 'Training loss: 93.8973', 'Explore P: 0.7381')
('Episode: 24', 'Total reward: 2020.0', 'Training loss: 225.2226', 'Explore P: 0.7238')
('Episode: 25', 'Total reward: 400.0', 'Training loss: 175.1013', 'Explore P: 0.7171')
Model Saved
('Episode: 26', 'Total reward: 400.0', 'Training loss: 102.5071', 'Explore P: 0.7124')
('Episode: 27', 'Total reward: 480.0', 'Training loss: 68.8717', 'Explore P: 0.7051')
('Episode: 28', 'Total reward: 2640.0', 'Training loss: 213.2540', 'Explore P: 0.6988')
('Episode: 29', 'Total reward: 560.0', 'Training loss: 99.7658', 'Explore P: 0.6820')
('Episode: 30', 'Total reward: 480.0', 'Training loss: 49.0538', 'Explore P: 0.6778')
Model Saved
('Episode: 31', 'Total reward: 2620.0', 'Training loss: 133.9380', 'Explore P: 0.6707')
('Episode: 32', 'Total reward: 480.0', 'Training loss: 171.7191', 'Explore P: 0.6631')
('Episode: 33', 'Total reward: 2740.0', 'Training loss: 75.2298', 'Explore P: 0.6563')
('Episode: 34', 'Total reward: 420.0', 'Training loss: 100.2331', 'Explore P: 0.6515')
('Episode: 35', 'Total reward: 990.0', 'Training loss: 109.7792', 'Explore P: 0.6468')
Model Saved
('Episode: 36', 'Total reward: 2090.0', 'Training loss: 128.1557', 'Explore P: 0.6420')
('Episode: 37', 'Total reward: 1120.0', 'Training loss: 214.8747', 'Explore P: 0.6364')
('Episode: 38', 'Total reward: 260.0', 'Training loss: 123.9886', 'Explore P: 0.6318')
('Episode: 39', 'Total reward: 340.0', 'Training loss: 98.6504', 'Explore P: 0.6276')
('Episode: 40', 'Total reward: 440.0', 'Training loss: 96.8836', 'Explore P: 0.6222')
Model Saved
('Episode: 41', 'Total reward: 600.0', 'Training loss: 90.5757', 'Explore P: 0.6182')
('Episode: 42', 'Total reward: 580.0', 'Training loss: 108.1069', 'Explore P: 0.6128')
('Episode: 43', 'Total reward: 3610.0', 'Training loss: 239.3298', 'Explore P: 0.6046')
('Episode: 44', 'Total reward: 520.0', 'Training loss: 77.6605', 'Explore P: 0.5992')
('Episode: 45', 'Total reward: 640.0', 'Training loss: 759.0047', 'Explore P: 0.5918')
Model Saved
('Episode: 46', 'Total reward: 1650.0', 'Training loss: 174.2935', 'Explore P: 0.5866')
('Episode: 47', 'Total reward: 990.0', 'Training loss: 79.2309', 'Explore P: 0.5803')
('Episode: 48', 'Total reward: 520.0', 'Training loss: 70.5906', 'Explore P: 0.5711')
('Episode: 49', 'Total reward: 2420.0', 'Training loss: 103.2491', 'Explore P: 0.5659')
('Episode: 50', 'Total reward: 920.0', 'Training loss: 147.7589', 'Explore P: 0.5608')
Model Saved
('Episode: 51', 'Total reward: 480.0', 'Training loss: 84.7769', 'Explore P: 0.5554')
('Episode: 52', 'Total reward: 1140.0', 'Training loss: 134.1816', 'Explore P: 0.5457')
('Episode: 53', 'Total reward: 460.0', 'Training loss: 137.4384', 'Explore P: 0.5418')
('Episode: 54', 'Total reward: 380.0', 'Training loss: 66.9163', 'Explore P: 0.5384')
('Episode: 55', 'Total reward: 1500.0', 'Training loss: 43.6535', 'Explore P: 0.5338')
Model Saved
('Episode: 56', 'Total reward: 420.0', 'Training loss: 74.0937', 'Explore P: 0.5298')
('Episode: 57', 'Total reward: 1640.0', 'Training loss: 58.3391', 'Explore P: 0.5254')
('Episode: 58', 'Total reward: 380.0', 'Training loss: 58.4612', 'Explore P: 0.5206')
('Episode: 59', 'Total reward: 1910.0', 'Training loss: 63.5366', 'Explore P: 0.5136')
('Episode: 60', 'Total reward: 1720.0', 'Training loss: 201.6579', 'Explore P: 0.5076')
Model Saved
('Episode: 61', 'Total reward: 540.0', 'Training loss: 40.9903', 'Explore P: 0.5038')
('Episode: 62', 'Total reward: 380.0', 'Training loss: 178.3908', 'Explore P: 0.5009')
('Episode: 63', 'Total reward: 1660.0', 'Training loss: 63.8147', 'Explore P: 0.4959')
('Episode: 64', 'Total reward: 1710.0', 'Training loss: 29.1004', 'Explore P: 0.4894')
('Episode: 65', 'Total reward: 500.0', 'Training loss: 24.8590', 'Explore P: 0.4857')
Model Saved
('Episode: 66', 'Total reward: 600.0', 'Training loss: 38.8943', 'Explore P: 0.4817')
('Episode: 67', 'Total reward: 1040.0', 'Training loss: 56.1353', 'Explore P: 0.4780')
('Episode: 68', 'Total reward: 1410.0', 'Training loss: 131.7890', 'Explore P: 0.4737')
('Episode: 69', 'Total reward: 1470.0', 'Training loss: 155.2213', 'Explore P: 0.4700')
('Episode: 70', 'Total reward: 850.0', 'Training loss: 72.5777', 'Explore P: 0.4656')
Model Saved
('Episode: 71', 'Total reward: 340.0', 'Training loss: 226.5863', 'Explore P: 0.4630')
('Episode: 72', 'Total reward: 420.0', 'Training loss: 53.0503', 'Explore P: 0.4604')
('Episode: 73', 'Total reward: 660.0', 'Training loss: 82.4464', 'Explore P: 0.4575')
('Episode: 74', 'Total reward: 1730.0', 'Training loss: 61.2049', 'Explore P: 0.4526')
('Episode: 75', 'Total reward: 1420.0', 'Training loss: 300.4344', 'Explore P: 0.4484')
Model Saved
('Episode: 76', 'Total reward: 1030.0', 'Training loss: 147.2472', 'Explore P: 0.4441')
('Episode: 77', 'Total reward: 840.0', 'Training loss: 32.8686', 'Explore P: 0.4400')
('Episode: 78', 'Total reward: 740.0', 'Training loss: 46.9528', 'Explore P: 0.4347')
('Episode: 79', 'Total reward: 2020.0', 'Training loss: 35.3985', 'Explore P: 0.4301')
('Episode: 80', 'Total reward: 520.0', 'Training loss: 63.1675', 'Explore P: 0.4277')
Model Saved
('Episode: 81', 'Total reward: 200.0', 'Training loss: 36.4952', 'Explore P: 0.4232')
('Episode: 82', 'Total reward: 800.0', 'Training loss: 27.2306', 'Explore P: 0.4206')
('Episode: 83', 'Total reward: 660.0', 'Training loss: 76.6143', 'Explore P: 0.4174')
('Episode: 84', 'Total reward: 800.0', 'Training loss: 42.7250', 'Explore P: 0.4140')
('Episode: 85', 'Total reward: 380.0', 'Training loss: 33.3504', 'Explore P: 0.4114')
Model Saved
('Episode: 86', 'Total reward: 1520.0', 'Training loss: 62.8621', 'Explore P: 0.4083')
('Episode: 87', 'Total reward: 580.0', 'Training loss: 57.5451', 'Explore P: 0.4047')
('Episode: 88', 'Total reward: 1290.0', 'Training loss: 25.6516', 'Explore P: 0.4008')
('Episode: 89', 'Total reward: 740.0', 'Training loss: 46.8773', 'Explore P: 0.3971')
('Episode: 90', 'Total reward: 1700.0', 'Training loss: 32.9239', 'Explore P: 0.3932')
Model Saved
('Episode: 91', 'Total reward: 520.0', 'Training loss: 56.4070', 'Explore P: 0.3910')
('Episode: 92', 'Total reward: 360.0', 'Training loss: 40.2094', 'Explore P: 0.3891')
('Episode: 93', 'Total reward: 540.0', 'Training loss: 33.1102', 'Explore P: 0.3860')
